,subCategory,start_date,start_time,end_date,end_time,latitude,longitude
148,roadWorks,2022-02-17,16:00:00,2022-02-17,17:00:00,41.159468799,-8.643033784
149,pothole,2022-02-17,14:20:00,2022-02-17,23:45:00,41.181144051,-8.613008465
150,pothole,2022-02-17,14:22:00,2022-02-17,23:45:00,41.144415707,-8.608864871
151,roadWorks,2022-02-17,14:30:00,2022-02-17,15:30:00,41.157501548,-8.585503627
152,carAccident,2022-02-17,18:00:00,2022-02-17,18:30:00,41.173181245,-8.624151334
153,pothole,2022-02-17,18:30:00,2022-02-17,23:45:00,41.148283945,-8.612159755
154,roadWorks,2022-02-17,18:30:00,2022-02-17,23:45:00,41.173947297,-8.600590005
155,roadWorks,2022-02-17,14:45:00,2022-02-17,15:15:00,41.155886786,-8.609228935
156,carStopped,2022-02-17,19:45:00,2022-02-17,21:00:00,41.153968129,-8.644935623
157,roadWorks,2022-02-18,10:00:00,2022-02-18,13:00:00,41.183497483,-8.584099938
158,roadWorks,2022-02-19,08:30:00,2022-02-19,12:30:00,41.158545949,-8.592953043
159,roadWorks,2022-02-18,09:45:00,2022-02-18,10:00:00,41.15018314,-8.602147573
160,roadWorks,2022-02-18,12:00:00,2022-02-18,13:00:00,41.149811035,-8.619450293
161,pothole,2022-02-18,08:00:00,2022-02-18,23:45:00,41.177209803,-8.64386883
162,pothole,2022-02-18,08:00:00,2022-02-18,23:45:00,41.177760374,-8.64322225
163,roadWorks,2022-02-18,08:00:00,2022-02-18,23:45:00,41.142157111,-8.613458441
164,roadWorks,2022-02-18,08:00:00,2022-02-18,23:45:00,41.177673006,-8.573600318
165,roadWorks,2022-02-18,08:00:00,2022-02-18,23:45:00,41.170651803,-8.652435261
166,roadWorks,2022-02-18,00:30:00,2022-02-18,23:45:00,41.170638408,-8.64414032
167,pothole,2022-02-18,00:30:00,2022-02-18,23:45:00,41.146746124,-8.631795202
168,roadWorks,2022-02-18,00:30:00,2022-02-18,23:45:00,41.157161908,-8.638043198
169,pothole,2022-02-18,00:30:00,2022-02-18,23:45:00,41.151220404,-8.646030817
170,roadWorks,2022-02-18,00:30:00,2022-02-18,23:45:00,41.166658014,-8.638707338
171,roadWorks,2022-02-18,08:00:00,2022-02-18,15:00:00,41.16115449,-8.633041758000001
172,roadWorks,2022-02-18,09:00:00,2022-02-18,17:00:00,41.145952325,-8.617626516
173,roadWorks,2022-02-18,10:00:00,2022-02-18,23:45:00,41.157745944,-8.608939093
174,roadWorks,2022-02-18,11:00:00,2022-02-18,23:45:00,41.176287614,-8.647536332
175,roadWorks,2022-02-18,11:00:00,2022-02-18,23:45:00,41.147114904,-8.592971442
176,roadWorks,2022-02-18,11:15:00,2022-02-18,23:45:00,41.156644996,-8.578533949
177,pothole,2022-02-18,11:30:00,2022-02-18,23:45:00,41.167687173,-8.667245958
178,carAccident,2022-02-18,13:00:00,2022-02-18,13:30:00,41.14636322,-8.640186817
179,roadWorks,2022-02-18,13:15:00,2022-02-18,13:30:00,41.150182815,-8.602172629
180,roadWorks,2022-02-18,13:45:00,2022-02-18,23:45:00,41.176449916,-8.661867069
181,roadWorks,2022-02-18,20:00:00,2022-02-18,23:45:00,41.149157084,-8.625559862
182,roadWorks,2022-02-18,14:15:00,2022-02-18,23:45:00,41.166796175,-8.625191854
183,roadWorks,2022-02-18,14:15:00,2022-02-18,23:45:00,41.170678051,-8.65244599
184,roadWorks,2022-02-18,14:15:00,2022-02-18,23:45:00,41.158842489,-8.609185856
185,roadWorks,2022-02-18,15:00:00,2022-02-18,16:00:00,41.164380313,-8.607853637
186,roadWorks,2022-02-18,15:15:00,2022-02-18,15:45:00,41.153488511,-8.607898354
187,roadWorks,2022-02-18,15:30:00,2022-02-18,17:30:00,41.172973855,-8.612847323
188,roadWorks,2022-02-18,16:00:00,2022-02-18,17:00:00,41.154036505,-8.607548703
189,roadWorks,2022-02-18,16:15:00,2022-02-18,23:45:00,41.147247164,-8.59873421
190,roadWorks,2022-02-18,16:30:00,2022-02-18,23:45:00,41.141937388,-8.597136871
191,roadWorks,2022-02-18,16:30:00,2022-02-18,23:45:00,41.158155049,-8.610953809
192,roadWorks,2022-02-18,21:30:00,2022-02-18,22:00:00,41.160713609,-8.609864832
193,carStopped,2022-02-18,18:30:00,2022-02-18,18:45:00,41.16801408,-8.588578909
194,roadWorks,2022-02-22,13:30:00,2022-02-22,16:00:00,41.151561851,-8.567748074
195,roadWorks,2022-02-23,13:30:00,2022-02-23,16:00:00,41.151529536,-8.567538862
196,roadWorks,2022-02-23,10:00:00,2022-02-23,12:30:00,41.184202174,-8.609614926
197,roadWorks,2022-02-24,10:00:00,2022-02-24,12:30:00,41.149771811,-8.649166528
198,roadWorks,2022-02-24,13:30:00,2022-02-24,16:00:00,41.173887795,-8.590918756
199,roadWorks,2022-02-22,10:00:00,2022-02-22,12:30:00,41.171786251,-8.617178085
200,roadWorks,2022-02-19,00:00:00,2022-02-19,04:00:00,41.141364609,-8.611559276
201,roadWorks,2022-02-19,08:00:00,2022-02-19,11:00:00,41.144007107,-8.609901587
202,roadWorks,2022-02-20,08:00:00,2022-02-20,13:00:00,41.144388322,-8.614374087
203,roadWorks,2022-02-19,13:30:00,2022-02-19,17:00:00,41.159153773,-8.59455801
204,carAccident,2022-02-19,08:15:00,2022-02-19,09:15:00,41.159443508,-8.601056594
205,carAccident,2022-02-19,11:55:00,2022-02-19,14:00:00,41.146518436,-8.640177133
206,roadWorks,2022-02-19,10:00:00,2022-02-19,14:00:00,41.159705081,-8.596155601
207,roadWorks,2022-02-19,00:30:00,2022-02-19,23:45:00,41.148458206,-8.636950491
208,roadWorks,2022-02-19,09:15:00,2022-02-19,23:45:00,41.163517964,-8.684712546
209,roadWorks,2022-02-19,11:15:00,2022-02-19,23:45:00,41.161285436,-8.608897356
210,pothole,2022-02-19,14:30:00,2022-02-19,23:45:00,41.160234785,-8.616243293
211,roadWorks,2022-02-19,14:30:00,2022-02-19,23:45:00,41.150201117,-8.621012177
212,roadWorks,2022-02-19,15:00:00,2022-02-19,23:45:00,41.160050666,-8.611746612
213,roadWorks,2022-02-20,18:30:00,2022-02-20,23:45:00,41.14973797,-8.612096305
214,roadWorks,2022-02-21,08:00:00,2022-02-21,08:30:00,41.157348609,-8.652315274
215,carAccident,2022-02-21,08:30:00,2022-02-21,08:45:00,41.141149332,-8.60170242
216,carStopped,2022-02-21,09:30:00,2022-02-21,09:45:00,41.143401327,-8.60218747
217,roadWorks,2022-02-21,09:45:00,2022-02-21,10:45:00,41.175613002,-8.626781064
218,roadWorks,2022-02-21,10:00:00,2022-02-21,12:00:00,41.150947259,-8.603223389
219,roadWorks,2022-02-21,10:30:00,2022-02-21,11:30:00,41.167887034,-8.634890723
220,roadWorks,2022-02-21,11:00:00,2022-02-21,12:00:00,41.172796667,-8.65437014
221,carAccident,2022-02-21,11:30:00,2022-02-21,12:00:00,41.171339927,-8.593885288
222,roadWorks,2022-02-21,12:00:00,2022-02-21,12:30:00,41.171087914,-8.651627917
223,carStopped,2022-02-21,12:00:00,2022-02-21,12:15:00,41.147966772,-8.613162734
224,roadWorks,2022-02-21,08:30:00,2022-02-21,23:45:00,41.175667522,-8.644508095
225,roadWorks,2022-02-21,08:30:00,2022-02-21,23:45:00,41.140478809,-8.614196222
226,roadWorks,2022-02-21,08:30:00,2022-02-21,23:45:00,41.140585866,-8.613413017
227,roadWorks,2022-02-21,08:30:00,2022-02-21,23:45:00,41.177761834,-8.573498395
228,roadWorks,2022-02-21,08:30:00,2022-02-21,23:45:00,41.171634002,-8.625748413
